ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108396,SRR7108397,SRR7108398,SRR7108399,SRR7108400,SRR7108401,SRR7108402,SRR7108403,SRR7108396 CPM,SRR7108397 CPM,SRR7108398 CPM,SRR7108399 CPM,SRR7108400 CPM,SRR7108401 CPM,SRR7108402 CPM,SRR7108403 CPM
ENSG00000136114,THSD1,0,2.88869569624477,7.97741439464199e-8,-0.425981611869814,8.05465456703581e-9,3.780213,0,0,3.51613,13.517091,8.037499,10.984008,11.501155,0.309,0.000,0.000,0.276,1.129,0.792,1.052,1.033
ENSG00000138411,HECW2,0,-3.53798799012197,8.04242314980119e-8,-0.36072845087687,8.1216758793459e-9,17.021327,11.000589,7.048648,17.263959,1.024991,1.009568,1,0,1.391,1.067,0.632,1.355,0.086,0.100,0.096,0.000
ENSG00000263843,MIF4GD-DT,0,-2.9166028244615,8.23470719904601e-8,-0.19234423684591,8.32010332336927e-9,11.787976,13.783683,16.033894,16.984571,1.33415,1.204824,0,3.032038,0.963,1.337,1.438,1.333,0.111,0.119,0.000,0.272
ENSG00000269176,NA,0,-2.39859084371769,8.25152064251643e-8,0.230516111033214,8.3385102061029e-9,24.373332,17.324476,18.725807,19.923354,0,3.584126,1.693065,5.993868,1.992,1.681,1.679,1.563,0.000,0.353,0.162,0.539
ENSG00000198093,ZNF649,0,-1.84840069078219,8.35323149159919e-8,1.47995419965068,8.44703960145893e-9,64.629673,43.946232,38.882184,52.425429,15.808198,4,11.55232,11,5.281,4.264,3.486,4.114,1.320,0.394,1.106,0.988
ENSG00000187994,RINL,0,1.66435546445729,8.42473018220667e-8,1.31863050237528,8.52223896877562e-9,14.26992,13.672001,15.882249,16.736422,31.070579,33.095553,42.118276,40.295664,1.166,1.327,1.424,1.313,2.595,3.262,4.033,3.621
ENSG00000230513,THAP7-AS1,0,-2.83051115670196,8.49108008560186e-8,-0.171094451718331,8.59227737005887e-9,15.408311,14.810503,15.101988,14.006225,3.003474,1.020526,0,2.005298,1.259,1.437,1.354,1.099,0.251,0.101,0.000,0.180
ENSG00000117242,PINK1-AS,0,-1.35139814176939,8.75136736875944e-8,2.43297228099827,8.86770711072464e-9,83.156458,89.644315,79.357056,121.71079,32.559037,35.276075,19.431737,24.237799,6.795,8.698,7.115,9.550,2.720,3.477,1.861,2.178
ENSG00000138646,HERC5,0,2.11444284797378,8.85641947128259e-8,0.482052081761624,8.97872509041066e-9,7,5,5,8,29,15.999999,12,28,0.572,0.485,0.448,0.628,2.422,1.577,1.149,2.516
ENSG00000167244,IGF2,0,2.25816619556973,8.95661156851454e-8,0.0366678280196352,9.08184116256414e-9,6,4,3.089398,3,18.845141,15.149139,16.467019,10,0.490,0.388,0.277,0.235,1.574,1.493,1.577,0.899
